years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
6,84.7,Bachelors,7,234,158,No
3,59.1,Masters,5,502,77,No
12,100.0,Masters,12,753,381,Yes
14,66.8,High School,8,529,407,Yes
10,99.6,Bachelors,10,754,331,Yes
7,74.1,Bachelors,12,575,290,Yes
12,87.5,Bachelors,12,516,421,Yes
4,54.2,Masters,8,335,255,No
6,80.4,Bachelors,10,462,302,Yes
9,87.0,Bachelors,11,592,362,Yes
2,52.1,High School,7,571,201,No
6,37.5,Bachelors,13,577,253,Yes
10,68.3,PhD,13,693,335,Yes
10,60.8,Bachelors,12,735,423,Yes
7,82.0,Masters,14,617,323,Yes
4,62.3,Masters,7,466,164,No
3,56.8,Bachelors,7,406,310,No
7,66.8,Masters,10,332,274,Yes
7,93.5,Bachelors,5,454,212,Yes
2,65.9,Masters,6,302,208,No
5,70.5,Bachelors,5,344,107,No
4,60.0,Masters,7,653,118,Yes
1,54.6,High School,4,278,129,No
7,60.6,Masters,6,658,311,Yes
11,80.2,High School,9,551,352,Yes
13,70.1,Masters,17,529,537,Yes
5,78.7,Bachelors,9,646,335,Yes
1,52.2,Masters,10,271,240,No
15,100.0,Bachelors,23,683,657,Yes
11,100.0,Bachelors,18,393,546,Yes
4,69.3,Masters,12,673,271,Yes
0,84.7,PhD,2,223,58,No
11,86.3,High School,8,823,391,Yes
9,61.5,PhD,14,729,443,Yes
5,72.9,Masters,11,488,206,Yes
12,92.8,Masters,15,584,496,Yes
11,88.5,Bachelors,16,754,464,Yes
8,76.2,Bachelors,11,804,352,Yes
0,63.7,Masters,9,607,235,No
10,77.6,Bachelors,8,740,325,Yes
10,79.5,Bachelors,11,709,329,Yes
14,62.6,High School,12,750,473,Yes
9,72.0,Bachelors,13,747,396,Yes
15,69.5,Masters,14,662,413,Yes
11,75.8,Masters,11,517,403,Yes
11,74.4,Masters,14,562,450,Yes
15,77.7,Bachelors,11,716,506,Yes
14,69.7,Bachelors,10,900,367,Yes
13,87.5,Bachelors,9,699,424,Yes
13,78.7,Bachelors,9,667,337,Yes
